Cust_ID,Recency,Frequency,monetary,RScore,FM_score,rfm_segment
12346,326,1,74215,1,5,Cant Lose Them
12347,3,0.0191,4245,5,4,Champions
12348,76,0.0141,916,2,3,Customers Needing Attention
12349,19,1,1275,4,4,Loyal Customers
12350,311,1,292,1,3,At Risk
12352,37,0.0268,1124,3,3,Potential Loyalists
12353,205,1,26,1,3,At Risk
12354,233,1,964,1,4,Cant Lose Them
12355,215,1,370,1,3,At Risk
12356,246,0.0247,1748,1,3,At Risk
12357,34,1,4866,3,5,Loyal Customers
12358,2,0.0133,878,5,3,Loyal Customers
12359,58,0.0145,3639,3,3,Potential Loyalists
12360,53,0.0201,1970,3,4,Loyal Customers
12361,288,1,192,1,3,At Risk
12362,4,0.0341,4460,5,4,Champions
12363,110,0.0149,582,2,2,Customers Needing Attention
12364,8,0.0377,1060,5,4,Champions
12365,292,1,274,1,3,At Risk
12367,5,1,118,5,3,Loyal Customers
12370,52,0.0129,3044,3,3,Potential Loyalists
12371,60,1,1434,3,4,Loyal Customers
12372,72,0.0133,1144,3,3,Potential Loyalists
12373,312,1,356,1,3,At Risk
12374,26,1,569,4,4,Loyal Customers
12375,11,0.0225,370,5,2,Potential Loyalists
12377,316,0.05,1426,1,4,Cant Lose Them
12378,130,1,3717,2,5,At Risk
12379,82,0.0222,850,2,3,Customers Needing Attention
12380,22,0.0242,2301,4,4,Loyal Customers
12381,5,0.0431,1283,5,4,Champions
12383,185,0.0296,1250,1,3,At Risk
12384,29,0.0213,346,4,2,Potential Loyalists
12386,338,0.0667,354,1,3,At Risk
12388,16,0.0192,2754,4,4,Loyal Customers
12390,80,1,416,2,4,At Risk
12391,22,1,379,4,3,Potential Loyalists
12393,73,0.0153,1714,2,3,Customers Needing Attention
12394,64,0.0129,1150,3,3,Potential Loyalists
12395,20,0.034,2351,4,4,Loyal Customers
12397,36,0.0198,1706,3,3,Potential Loyalists
12398,46,1,1188,3,4,Loyal Customers
12399,120,0.028,1231,2,3,Customers Needing Attention
12401,304,1,34,1,3,At Risk
12402,324,1,202,1,3,At Risk
12403,50,1,378,3,3,Potential Loyalists
12405,149,1,1362,2,4,At Risk
12406,23,0.0123,3229,4,3,Potential Loyalists
12407,50,0.0231,1269,3,3,Potential Loyalists
12408,33,0.0218,2543,4,4,Loyal Customers
12409,79,0.0286,9195,2,4,At Risk
12410,309,1,319,1,3,At Risk
12412,75,0.0313,1019,2,4,At Risk
12413,67,0.011,645,3,2,Customers Needing Attention
12414,218,0.0319,465,1,3,At Risk
12415,25,0.0637,108643,4,4,Loyal Customers
12417,4,0.0254,2281,5,4,Champions
12418,113,1,382,2,3,Customers Needing Attention
12420,64,1,426,3,4,Loyal Customers
12421,16,0.0131,546,4,2,Potential Loyalists
12422,96,0.013,677,2,2,Customers Needing Attention
12423,1,0.0226,1468,5,3,Loyal Customers
12424,163,2,1774,2,5,At Risk
12425,79,1,740,2,4,At Risk
12426,195,1,502,1,4,Cant Lose Them
12427,22,0.0085,527,4,2,Potential Loyalists
12428,26,0.0309,5282,4,4,Loyal Customers
12429,10,0.0112,3138,5,3,Loyal Customers
12430,44,1,156,3,3,Potential Loyalists
12431,36,0.0442,6016,3,4,Loyal Customers
12432,43,0.0305,3660,3,4,Loyal Customers
12433,1,0.0187,11560,5,4,Champions
12434,85,0.0113,791,2,2,Customers Needing Attention
12435,80,0.0106,6680,2,3,Customers Needing Attention
12436,100,1,479,2,4,At Risk
12437,2,0.0544,3532,5,4,Champions
12438,15,0.0157,2104,4,3,Potential Loyalists
12441,367,1,125,1,3,At Risk
12442,4,1,96,5,3,Loyal Customers
12444,22,0.0331,2461,4,4,Loyal Customers
12445,23,1,60,4,3,Potential Loyalists
12446,58,1,772,3,4,Loyal Customers
12447,244,1,445,1,4,Cant Lose Them
12448,45,1,284,3,3,Potential Loyalists
12449,23,0.0241,2694,4,4,Loyal Customers
12450,157,0.1111,214,2,3,Customers Needing Attention
12451,11,0.0159,8056,5,3,Loyal Customers
12452,17,1,334,4,3,Potential Loyalists
12453,135,1,653,2,4,At Risk
12454,57,1,2712,3,5,Loyal Customers
12455,74,0.0223,2632,2,4,At Risk
12456,45,0.0142,2123,3,3,Potential Loyalists
12457,67,0.0345,1928,3,4,Loyal Customers
12458,72,0.0093,780,3,2,Customers Needing Attention
12461,155,1,585,2,4,At Risk
12462,19,0.007,660,4,2,Potential Loyalists
12463,54,0.0212,1170,3,3,Potential Loyalists
12464,150,0.0248,90,2,2,Customers Needing Attention
12465,18,0.0131,723,4,2,Potential Loyalists
12468,188,0.0154,649,1,2,Hibernating
12471,3,0.0744,11998,5,4,Champions
12472,33,0.0207,5440,4,4,Loyal Customers
12473,54,0.0216,2424,3,4,Loyal Customers
12474,18,0.0575,6302,4,4,Loyal Customers
12475,54,1,655,3,4,Loyal Customers
12476,16,0.0288,4407,4,4,Loyal Customers
12477,23,0.0214,10834,4,4,Loyal Customers
12478,4,1,502,5,4,Champions
12479,12,1,441,5,4,Champions
12480,29,0.0129,2791,4,3,Potential Loyalists
12481,23,0.0291,4000,4,4,Loyal Customers
12483,18,0.0248,1952,4,4,Loyal Customers
12484,36,0.0132,3319,3,3,Potential Loyalists
12488,10,0.0448,1100,5,4,Champions
12489,337,1,205,1,3,At Risk
12490,6,0.0308,4935,5,4,Champions
12491,39,1,432,3,4,Loyal Customers
12492,64,0.0465,203,3,2,Customers Needing Attention
12493,166,0.0606,401,2,3,Customers Needing Attention
12494,16,0.0199,968,4,3,Potential Loyalists
12497,82,1,552,2,4,At Risk
12498,22,0.0811,377,4,3,Potential Loyalists
12500,24,0.0354,3276,4,4,Loyal Customers
12501,337,1,1630,1,4,Cant Lose Them
12502,96,0.0233,1952,2,4,At Risk
12504,31,1,48,4,3,Potential Loyalists
12506,233,1,73,1,3,At Risk
12507,135,0.0182,1048,2,3,Customers Needing Attention
12508,27,0.5,399,4,3,Potential Loyalists
12509,285,1,130,1,3,At Risk
12510,143,0.0109,795,2,2,Customers Needing Attention
12512,67,2,135,3,3,Potential Loyalists
12513,113,1,522,2,4,At Risk
12514,268,1,878,1,4,Cant Lose Them
12515,354,1,216,1,3,At Risk
12516,78,0.0192,1258,2,3,Customers Needing Attention
12517,29,0.0245,2354,4,4,Loyal Customers
12518,1,0.045,1689,5,4,Champions
12519,64,1,280,3,3,Potential Loyalists
12520,80,0.0256,1979,2,4,At Risk
12521,143,1,499,2,4,At Risk
12522,40,0.1538,164,3,3,Potential Loyalists
12523,20,0.0351,1249,4,4,Loyal Customers
12524,10,0.0246,3373,5,4,Champions
12526,1,0.0316,1112,5,4,Champions
12527,82,0.0122,295,2,2,Customers Needing Attention
12528,10,0.0197,1164,5,3,Loyal Customers
12530,60,0.0144,1293,3,3,Potential Loyalists
12531,15,1,95,4,3,Potential Loyalists
12532,31,1,299,4,3,Potential Loyalists
12534,131,1,879,2,4,At Risk
12535,92,0.0208,617,2,3,Customers Needing Attention
12536,60,1,3629,3,5,Loyal Customers
12538,30,1,285,4,3,Potential Loyalists
12539,23,0.0128,4320,4,3,Potential Loyalists
12540,20,0.0496,8920,4,4,Loyal Customers
12541,30,0.0119,834,4,3,Potential Loyalists
12544,37,1,314,3,3,Potential Loyalists
12545,76,0.0108,668,2,2,Customers Needing Attention
12546,47,0.0625,992,3,4,Loyal Customers
12547,198,0.0238,156,1,2,Hibernating
12548,167,1,48,2,3,Customers Needing Attention
12550,80,1,723,2,4,At Risk
12551,358,1,170,1,3,At Risk
12552,40,1,190,3,3,Potential Loyalists
12553,9,0.0311,3197,5,4,Champions
12556,51,0.0196,539,3,3,Potential Loyalists
12557,17,0.014,11598,4,3,Potential Loyalists
12558,8,1,248,5,3,Loyal Customers
12559,311,0.2,467,1,4,Cant Lose Them
12560,6,0.0144,1834,5,3,Loyal Customers
12561,303,1,199,1,3,At Risk
12562,9,0.0366,3203,5,4,Champions
12564,262,1,368,1,3,At Risk
12565,289,1,148,1,3,At Risk
12566,87,1,173,2,3,Customers Needing Attention
12567,23,0.0287,7542,4,4,Loyal Customers
12569,3,0.1116,2597,5,5,Champions
12571,40,0.0241,581,3,3,Potential Loyalists
12572,9,0.0455,704,5,3,Loyal Customers
12573,228,1,150,1,3,At Risk
12574,316,1,165,1,3,At Risk
12576,36,0.0185,1175,3,3,Potential Loyalists
12577,36,0.0092,555,3,2,Customers Needing Attention
12578,22,0.0065,2334,4,3,Potential Loyalists
12579,79,1,322,2,3,Customers Needing Attention
12580,247,1,416,1,4,Cant Lose Them
12581,40,1,158,3,3,Potential Loyalists
12582,239,0.0392,338,1,3,At Risk
12583,3,0.0403,6857,5,4,Champions
12584,4,0.0288,1519,5,3,Loyal Customers
12585,235,0.0169,1554,1,3,At Risk
12586,18,1,180,4,3,Potential Loyalists
12587,8,1,100,5,3,Loyal Customers
12588,40,1,83,3,3,Potential Loyalists
12589,29,0.0171,368,4,2,Potential Loyalists
12590,212,1,9736,1,5,Cant Lose Them
12591,318,1,348,1,3,At Risk
12592,93,0.0164,466,2,2,Customers Needing Attention
12593,109,0.027,428,2,3,Customers Needing Attention
12594,38,0.0315,3209,3,4,Loyal Customers
12596,52,0.0104,401,3,2,Customers Needing Attention
12597,20,0.016,2644,4,3,Potential Loyalists
12598,10,0.0254,2799,5,4,Champions
12599,30,0.0254,906,4,3,Potential Loyalists
12600,29,0.0291,2312,4,4,Loyal Customers
12601,190,0.0347,434,1,3,At Risk
12602,59,1,98,3,3,Potential Loyalists
12604,80,0.0109,270,2,2,Customers Needing Attention
12607,61,1,1450,3,4,Loyal Customers
12609,79,0.0124,882,2,3,Customers Needing Attention
12610,23,0.0381,1523,4,4,Loyal Customers
12611,53,1,1098,3,4,Loyal Customers
12612,75,1,662,2,4,At Risk
12613,58,0.0194,3000,3,4,Loyal Customers
12614,278,1,273,1,3,At Risk
12615,3,0.024,1935,5,4,Champions
12616,96,0.0099,572,2,2,Customers Needing Attention
12617,30,1,338,4,3,Potential Loyalists
12618,22,1,122,4,3,Potential Loyalists
12619,17,0.0336,3268,4,4,Loyal Customers
12620,15,0.0157,1098,4,3,Potential Loyalists
12621,2,0.0548,11550,5,4,Champions
12622,233,1,135,1,3,At Risk
12623,277,1,278,1,3,At Risk
12624,107,0.0278,583,2,3,Customers Needing Attention
12625,212,0.0183,1894,1,4,Cant Lose Them
12626,24,0.0296,5233,4,4,Loyal Customers
12627,11,0.0458,3985,5,4,Champions
12628,5,0.0492,666,5,3,Loyal Customers
12630,10,0.0571,879,5,4,Champions
12631,58,1,448,3,4,Loyal Customers
12633,59,0.0174,1865,3,3,Potential Loyalists
12635,90,0.0303,1439,2,3,Customers Needing Attention
12637,68,0.0311,5757,3,4,Loyal Customers
12638,34,1,467,3,4,Loyal Customers
12639,239,1,342,1,3,At Risk
12640,24,0.0508,668,4,3,Potential Loyalists
12641,116,1,152,2,3,Customers Needing Attention
12642,26,0.0361,845,4,4,Loyal Customers
12643,129,0.0293,2902,2,4,At Risk
12644,130,1,436,2,4,At Risk
12645,34,0.0141,1774,3,3,Potential Loyalists
12646,5,0.0435,1274,5,4,Champions
12647,23,0.0345,2675,4,4,Loyal Customers
12648,155,1,260,2,3,Customers Needing Attention
12649,108,0.0283,523,2,3,Customers Needing Attention
12650,4,1,190,5,3,Loyal Customers
12651,335,1,123,1,3,At Risk
12652,332,1,748,1,4,Cant Lose Them
12653,149,0.0134,1671,2,3,Customers Needing Attention
12654,11,0.0175,525,5,2,Potential Loyalists
12656,18,0.023,3564,4,4,Loyal Customers
12657,12,0.0441,698,5,3,Loyal Customers
12658,19,1,564,4,4,Loyal Customers
12659,30,1,56,4,3,Potential Loyalists
12660,12,1,252,5,3,Loyal Customers
12662,1,0.0294,3440,5,4,Champions
12664,9,0.0286,4530,5,4,Champions
12665,325,1,36,1,3,At Risk
12667,59,1,439,3,4,Loyal Customers
12668,12,0.0116,2940,5,3,Loyal Customers
12669,151,0.0187,1387,2,3,Customers Needing Attention
12670,11,0.0224,2935,5,4,Champions
12672,330,1,231,1,3,At Risk
12673,6,0.0062,560,5,2,Potential Loyalists
12674,39,0.0235,1558,3,3,Potential Loyalists
12676,25,0.0208,1013,4,3,Potential Loyalists
12678,43,0.0288,17395,3,4,Loyal Customers
12679,59,0.0177,862,3,3,Potential Loyalists
12680,1,0.0351,739,5,3,Loyal Customers
12681,15,0.0621,11879,4,4,Loyal Customers
12682,4,0.084,11175,5,4,Champions
12683,5,0.0387,6667,5,4,Champions
12684,8,0.029,2159,5,4,Champions
12685,29,0.0909,2438,4,4,Loyal Customers
12686,372,1,34,1,3,At Risk
12688,114,1,4158,2,5,At Risk
12689,26,0.0194,1037,4,3,Potential Loyalists
12690,206,1,279,1,3,At Risk
12691,29,0.0152,992,4,3,Potential Loyalists
12693,128,0.0207,601,2,3,Customers Needing Attention
12694,71,0.0175,538,3,2,Customers Needing Attention
12695,8,0.0196,557,5,3,Loyal Customers
12697,29,0.0211,779,4,3,Potential Loyalists
12700,8,0.0191,4322,5,4,Champions
12701,80,0.0122,687,2,2,Customers Needing Attention
12702,20,1,199,4,3,Potential Loyalists
12703,72,1,271,3,3,Potential Loyalists
12704,8,0.0491,1611,5,4,Champions
