"Cust_ID","Recency","Frequency","monetary","RScore","FM_score"
0,0,0.0,385345.0,0,0.0
1,0,0.0,286333.0,0,0.0
2,0,0.0,141968.0,0,0.0
3,0,0.0,324809.0,0,0.0
4,0,0.0,18787.0,0,0.0
5,0,0.0,1457.0,0,0.0
6,0,0.0,234.0,0,0.0
7,0,0.0,2307.0,0,0.0
8,0,0.0,172.0,0,0.0
2010,0,0.0,25490.0,0,0.0
2011,0,0.0,416266.0,0,0.0
12346,326,1.0,74215.0,1,5.0
12347,3,0.0191,4245.0,5,4.0
12348,76,0.0141,916.0,2,3.0
12349,19,1.0,1275.0,4,4.0
12350,311,1.0,292.0,1,3.0
12352,37,0.0268,1124.0,3,3.0
12353,205,1.0,26.0,1,3.0
12354,233,1.0,964.0,1,4.0
12355,215,1.0,370.0,1,3.0
12356,246,0.0247,1748.0,1,3.0
12357,34,1.0,4866.0,3,5.0
12358,2,0.0133,878.0,5,3.0
12359,58,0.0145,3639.0,3,3.0
12360,53,0.0201,1970.0,3,4.0
12361,288,1.0,192.0,1,3.0
12362,4,0.0341,4460.0,5,4.0
12363,110,0.0149,582.0,2,2.0
12364,8,0.0377,1060.0,5,4.0
12365,292,1.0,274.0,1,3.0
12367,5,1.0,118.0,5,3.0
12370,52,0.0129,3044.0,3,3.0
12371,60,1.0,1434.0,3,4.0
12372,72,0.0133,1144.0,3,3.0
12373,312,1.0,356.0,1,3.0
12374,26,1.0,569.0,4,4.0
12375,11,0.0225,370.0,5,2.0
12377,316,0.05,1426.0,1,4.0
12378,130,1.0,3717.0,2,5.0
12379,82,0.0222,850.0,2,3.0
12380,22,0.0242,2301.0,4,4.0
12381,5,0.0431,1283.0,5,4.0
12383,185,0.0296,1250.0,1,3.0
12384,29,0.0213,346.0,4,2.0
12386,338,0.0667,354.0,1,3.0
12388,16,0.0192,2754.0,4,4.0
12390,80,1.0,416.0,2,4.0
12391,22,1.0,379.0,4,3.0
12393,73,0.0153,1714.0,2,3.0
12394,64,0.0129,1150.0,3,3.0
12395,20,0.034,2351.0,4,4.0
12397,36,0.0198,1706.0,3,3.0
12398,46,1.0,1188.0,3,4.0
12399,120,0.028,1231.0,2,3.0
12401,304,1.0,34.0,1,3.0
12402,324,1.0,202.0,1,3.0
12403,50,1.0,378.0,3,3.0
12405,149,1.0,1362.0,2,4.0
12406,23,0.0123,3229.0,4,3.0
12407,50,0.0231,1269.0,3,3.0
12408,33,0.0218,2543.0,4,4.0
12409,79,0.0286,9195.0,2,4.0
12410,309,1.0,319.0,1,3.0
12412,75,0.0313,1019.0,2,4.0
12413,67,0.011,645.0,3,2.0
12414,218,0.0319,465.0,1,3.0
12415,25,0.0637,108643.0,4,4.0
12417,4,0.0254,2281.0,5,4.0
12418,113,1.0,382.0,2,3.0
12420,64,1.0,426.0,3,4.0
12421,16,0.0131,546.0,4,2.0
12422,96,0.013,677.0,2,2.0
12423,1,0.0226,1468.0,5,3.0
12424,163,2.0,1774.0,2,5.0
12425,79,1.0,740.0,2,4.0
12426,195,1.0,502.0,1,4.0
12427,22,0.0085,527.0,4,2.0
12428,26,0.0309,5282.0,4,4.0
12429,10,0.0112,3138.0,5,3.0
12430,44,1.0,156.0,3,3.0
12431,36,0.0442,6016.0,3,4.0
12432,43,0.0305,3660.0,3,4.0
12433,1,0.0187,11560.0,5,4.0
12434,85,0.0113,791.0,2,2.0
12435,80,0.0106,6680.0,2,3.0
12436,100,1.0,479.0,2,4.0
12437,2,0.0544,3532.0,5,4.0
12438,15,0.0157,2104.0,4,3.0
12441,367,1.0,125.0,1,3.0
12442,4,1.0,96.0,5,3.0
12444,22,0.0331,2461.0,4,4.0
12445,23,1.0,60.0,4,3.0
12446,58,1.0,772.0,3,4.0
12447,244,1.0,445.0,1,4.0
12448,45,1.0,284.0,3,3.0
12449,23,0.0241,2694.0,4,4.0
12450,157,0.1111,214.0,2,3.0
12451,11,0.0159,8056.0,5,3.0
12452,17,1.0,334.0,4,3.0
12453,135,1.0,653.0,2,4.0
12454,57,1.0,2712.0,3,5.0
12455,74,0.0223,2632.0,2,4.0
12456,45,0.0142,2123.0,3,3.0
12457,67,0.0345,1928.0,3,4.0
12458,72,0.0093,780.0,3,2.0
12461,155,1.0,585.0,2,4.0
12462,19,0.007,660.0,4,2.0
12463,54,0.0212,1170.0,3,3.0
12464,150,0.0248,90.0,2,2.0
12465,18,0.0131,723.0,4,2.0
12468,188,0.0154,649.0,1,2.0
12471,3,0.0744,11998.0,5,4.0
12472,33,0.0207,5440.0,4,4.0
12473,54,0.0216,2424.0,3,4.0
12474,18,0.0575,6302.0,4,4.0
12475,54,1.0,655.0,3,4.0
12476,16,0.0288,4407.0,4,4.0
12477,23,0.0214,10834.0,4,4.0
12478,4,1.0,502.0,5,4.0
12479,12,1.0,441.0,5,4.0
12480,29,0.0129,2791.0,4,3.0
